City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Carmen,MX,78.84,scattered clouds,18.6333,-91.8333,Hotel Lossandes
196,Tzucacab,MX,74.35,overcast clouds,20.0667,-89.05,Hotel Jabines Centro
198,Kandi,BJ,70.59,clear sky,11.1342,2.9386,Hébergement de la Poste
199,Moron,AR,73.99,overcast clouds,-34.6534,-58.6198,Hotel Morón
200,Sao Filipe,CV,78.71,overcast clouds,14.8961,-24.4956,Hotel Xaguate
201,Maputo,MZ,73.51,clear sky,-25.9653,32.5892,Pestana Rovuma
203,Mount Gambier,AU,71.06,overcast clouds,-37.8333,140.7667,The Commodore
204,Urucuca,BR,70.56,light rain,-14.5931,-39.2844,Pousada
205,Faanui,PF,79.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
207,Yaan,NG,76.17,broken clouds,7.3833,8.5667,
210,Airai,TL,77.0,scattered clouds,-8.9266,125.4092,
212,Sao Joao Da Barra,BR,68.56,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
213,Campo Formoso,BR,74.57,broken clouds,-10.5075,-40.3214,Hotel Rio das Pedras
219,Raga,SS,69.17,overcast clouds,8.4596,25.678,
222,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
224,Koforidua,GH,71.56,overcast clouds,6.0941,-0.2591,Ajaria Royal Palace Hotel
228,Kiunga,PG,89.6,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
230,Conde,BR,74.82,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
231,Bengkulu,ID,80.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
233,Kalmunai,LK,73.96,overcast clouds,7.4167,81.8167,VS Villa
234,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
238,Japura,ID,81.66,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
239,Olinda,BR,77.04,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
241,Savannah Bight,HN,82.0,moderate rain,16.45,-85.85,Villa on Dunbar Rock
243,Sinnamary,GF,78.6,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
245,Saint-Pierre,RE,69.91,clear sky,-21.3393,55.4781,Alize Plage
256,Atar,MR,73.08,clear sky,20.5169,-13.0499,Oumou Elghoura
258,Lagos,NG,74.62,moderate rain,6.5833,3.75,
261,Mon,IN,65.57,clear sky,26.75,95.1,NCK Cottage
265,Namibe,AO,69.3,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
267,Ibra,OM,65.79,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
268,Katobu,ID,87.33,overcast clouds,-4.9408,122.5276,La Ode Husein
