City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Flin Flon,CA,54.7682,-101.865,10.36,81,100,9.55,overcast clouds
80,Rio Grande,BR,-32.035,-52.0986,66.25,73,59,7.23,broken clouds
81,Kapaa,US,22.0752,-159.319,79.12,76,75,4.0,broken clouds
82,Clyde River,CA,70.4692,-68.5914,-15.0,95,43,5.01,scattered clouds
83,Bredasdorp,ZA,-34.5322,20.0403,57.6,69,100,1.86,overcast clouds
84,Albany,US,42.6001,-73.9662,34.57,67,62,1.01,broken clouds
85,Henties Bay,NA,-22.116,14.2845,58.98,92,92,5.84,overcast clouds
86,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,65.32,60,92,3.2,overcast clouds
87,Uvinza,TZ,-5.1036,30.3911,65.19,96,100,1.79,overcast clouds
88,Salmas,IR,38.1973,44.7653,39.6,66,0,6.06,clear sky
89,Chumikan,RU,54.7183,135.315,21.88,79,100,11.01,overcast clouds
90,Verkhnevilyuysk,RU,63.4453,120.3167,-14.78,98,24,4.07,few clouds
91,Ancud,CL,-41.8697,-73.8203,54.61,96,100,4.0,overcast clouds
92,Pundaguitan,PH,6.3711,126.1689,80.64,83,100,13.31,overcast clouds
93,Coahuayana,MX,18.7333,-103.6833,75.6,92,1,1.61,clear sky
94,Imeni Poliny Osipenko,RU,52.4201,136.4853,21.51,87,100,4.14,overcast clouds
95,Poso,ID,-1.3959,120.7524,85.26,69,100,2.19,overcast clouds
96,Orizona,BR,-17.0314,-48.2958,70.92,68,31,0.89,scattered clouds
97,Det Udom,TH,14.906,105.0784,83.8,66,100,3.42,overcast clouds
98,Saskylakh,RU,71.9167,114.0833,-36.2,100,21,3.69,few clouds
99,Neryungri,RU,56.6709,124.6491,9.16,91,98,3.06,overcast clouds
100,Sirohi,IN,24.8833,72.8667,63.73,34,0,4.23,clear sky
101,Porto Novo,BJ,6.4965,2.6036,77.56,82,23,4.56,few clouds
102,Khatanga,RU,71.9667,102.5,-21.87,89,99,9.15,overcast clouds
103,Norman Wells,CA,65.282,-126.8329,9.34,79,43,0.76,scattered clouds
104,Lasa,IT,46.6166,10.7002,42.03,91,100,0.69,overcast clouds
105,Kolpashevo,RU,58.3131,82.9089,-16.17,100,58,3.76,broken clouds
106,Kruisfontein,ZA,-34.0033,24.7314,60.89,76,100,1.63,overcast clouds
107,Pozhva,RU,59.0912,56.0847,7.81,92,5,2.08,clear sky
108,Tromso,NO,69.6496,18.957,31.37,100,65,3.44,broken clouds
109,Galle,LK,6.0367,80.217,76.21,80,88,5.46,overcast clouds
110,Merauke,ID,-8.4667,140.3333,84.58,73,99,3.91,overcast clouds
111,Ginowan,JP,26.2627,127.7615,79.79,87,75,8.05,broken clouds
112,Thompson,CA,55.7435,-97.8558,10.49,87,100,10.2,overcast clouds
113,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,74,0,5.01,clear sky
114,Kibaya,TZ,-5.3,36.5667,60.3,88,100,2.48,overcast clouds
115,Provideniya,RU,64.3833,-173.3,33.91,93,100,18.01,fog
116,Tuktoyaktuk,CA,69.4541,-133.0374,12.27,81,27,7.38,scattered clouds
117,Yelkhovka,RU,53.8667,50.2832,30.96,97,100,17.63,light snow
118,Oparino,RU,59.8518,48.2783,10.89,94,8,4.45,clear sky
119,Husavik,IS,66.0449,-17.3389,42.84,83,100,9.86,overcast clouds
120,Cayenne,GF,4.9333,-52.3333,78.84,83,0,3.44,clear sky
121,Cauquenes,CL,-35.9671,-72.3225,55.9,81,100,5.08,overcast clouds
122,Borova,UA,50.1763,30.1043,28.26,85,94,4.14,overcast clouds
123,Margate,GB,51.3813,1.3862,46.9,87,90,4.0,light rain
124,New London,US,41.4834,-72.0662,39.7,62,0,5.75,clear sky
125,Biasca,CH,46.3597,8.9697,50.36,94,100,0.74,overcast clouds
126,Terney,RU,45.0503,136.6092,34.86,81,100,3.13,light snow
127,Komsomolskiy,UZ,40.4272,71.7189,38.12,81,100,2.3,mist
128,Ilinskiy,RU,55.619,38.1182,21.58,86,75,11.18,broken clouds
129,Berlevag,NO,70.8578,29.0864,37.35,87,100,5.75,overcast clouds
130,Hasaki,JP,35.7333,140.8333,63.28,55,92,10.92,overcast clouds
131,Catamarca,AR,-28.4696,-65.7852,88.07,32,0,18.23,clear sky
132,Broome,US,42.2506,-75.833,31.01,82,20,6.91,few clouds
133,Pisco,PE,-13.7,-76.2167,63.01,82,0,14.97,clear sky
134,Manggar,ID,-2.8833,108.2667,82.45,75,100,2.37,moderate rain
135,Rawson,AR,-43.3002,-65.1023,64.71,73,98,10.4,overcast clouds
136,Marathon,US,44.9,-89.7668,21.15,85,100,12.66,overcast clouds
137,Chudovo,RU,59.1167,31.6833,23.94,85,24,7.7,few clouds
138,Pevek,RU,69.7008,170.3133,-6.27,98,100,5.88,overcast clouds
139,Esperance,AU,-33.8667,121.9,62.91,45,55,11.39,broken clouds
140,Rikitea,PF,-23.1203,-134.9692,70.05,91,100,11.7,moderate rain
141,Deputatskiy,RU,69.3,139.9,-26.73,99,19,2.46,few clouds
142,Kemijarvi,FI,66.7131,27.4306,14.68,86,12,2.68,few clouds
143,Vardo,NO,70.3705,31.1107,39.18,70,100,5.75,overcast clouds
144,Teahupoo,PF,-17.8333,-149.2667,76.96,85,80,9.15,light rain
145,Sukhoy Log,RU,56.9094,62.0296,-1.1,97,6,6.06,clear sky
146,Oistins,BB,13.0667,-59.5333,80.69,78,40,17.27,scattered clouds
147,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,10,8.99,clear sky
148,Caravelas,BR,-17.7125,-39.2481,72.43,93,100,10.22,light rain
149,Raudeberg,NO,61.9875,5.1352,47.07,40,2,7.16,clear sky
150,Opuwo,NA,-18.0607,13.84,69.58,51,7,3.22,clear sky
151,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,81,21,5.03,few clouds
